# Pixel positions of the trace in the spatial direction, Width of the trace
5.431874596012428356e+02,3.456978168189714928e+00
5.431830019369095908e+02,3.456978168189714928e+00
5.431785442889337219e+02,3.456978168189714928e+00
5.431740866606581903e+02,3.456978168189714928e+00
5.431696290554258439e+02,3.456978168189714928e+00
5.431651714765797578e+02,3.456978168189714928e+00
5.431607139274627798e+02,3.456978168189714928e+00
5.431562564114177576e+02,3.456978168189714928e+00
5.431517989317878801e+02,3.456978168189714928e+00
5.431473414919159950e+02,3.456978168189714928e+00
5.431428840951449502e+02,3.456978168189714928e+00
5.431384267448177070e+02,3.456978168189714928e+00
5.431339694442773407e+02,3.456978168189714928e+00
5.431295121968665853e+02,3.456978168189714928e+00
5.431250550059285160e+02,3.456978168189714928e+00
5.431205978748060943e+02,3.456978168189714928e+00
5.431161408068421679e+02,3.456978168189714928e+00
5.431116838053798119e+02,3.456978168189714928e+00
5.431072268737617605e+02,3.456978168189714928e+00
5.431027700153312026e+02,3.456978168189714928e+00
5.430983132334308721e+02,3.456978168189714928e+00
5.430938565314037305e+02,3.456978168189714928e+00
5.430893999125928531e+02,3.456978168189714928e+00
5.430849433803410875e+02,3.456978168189714928e+00
5.430804869379913953e+02,3.456978168189714928e+00
5.430760305888867379e+02,3.456978168189714928e+00
5.430715743363699630e+02,3.456978168189714928e+00
5.430671181837841459e+02,3.456978168189714928e+00
5.430626621344721343e+02,3.456978168189714928e+00
5.430582061917768897e+02,3.456978168189714928e+00
5.430537503590413735e+02,3.456978168189714928e+00
5.430492946396085472e+02,3.456978168189714928e+00
5.430448390368212586e+02,3.456978168189714928e+00
5.430403835540225828e+02,3.456978168189714928e+00
5.430359281945553676e+02,3.456978168189714928e+00
5.430314729617624607e+02,3.456978168189714928e+00
5.430270178589870511e+02,3.456978168189714928e+00
5.430225628895718728e+02,3.456978168189714928e+00
5.430181080568598873e+02,3.456978168189714928e+00
5.430136533641941696e+02,3.456978168189714928e+00
5.430091988149175677e+02,3.456978168189714928e+00
5.430047444123730429e+02,3.456978168189714928e+00
5.430002901599034431e+02,3.456978168189714928e+00
5.429958360608518433e+02,3.456978168189714928e+00
5.429913821185610914e+02,3.456978168189714928e+00
5.429869283363742625e+02,3.456978168189714928e+00
5.429824747176340907e+02,3.456978168189714928e+00
5.429780212656836511e+02,3.456978168189714928e+00
5.429735679838659053e+02,3.456978168189714928e+00
5.429691148755237009e+02,3.456978168189714928e+00
5.429646619440001132e+02,3.456978168189714928e+00
5.429602091926378762e+02,3.456978168189714928e+00
5.429557566247801788e+02,3.456978168189714928e+00
5.429513042437697550e+02,3.456978168189714928e+00
5.429468520529495663e+02,3.456978168189714928e+00
5.429424000556626879e+02,3.456978168189714928e+00
5.429379482552520813e+02,3.456978168189714928e+00
5.429334966550604804e+02,3.456978168189714928e+00
5.429290452584309605e+02,3.456978168189714928e+00
5.429245940687063694e+02,3.456978168189714928e+00
5.429201430892297822e+02,3.456978168189714928e+00
5.429156923233441603e+02,3.456978168189714928e+00
5.429112417743922379e+02,3.456978168189714928e+00
5.429067914457170900e+02,3.456978168189714928e+00
5.429023413406616783e+02,3.456978168189714928e+00
5.428978914625689640e+02,3.456978168189714928e+00
5.428934418147816814e+02,3.456978168189714928e+00
5.428889924006430192e+02,3.456978168189714928e+00
5.428845432234958253e+02,3.456978168189714928e+00
5.428800942866830610e+02,3.456978168189714928e+00
5.428756455935476879e+02,3.456978168189714928e+00
5.428711971474325537e+02,3.456978168189714928e+00
5.428667489516806199e+02,3.456978168189714928e+00
5.428623010096348480e+02,3.456978168189714928e+00
5.428578533246381994e+02,3.456978168189714928e+00
5.428534059000336356e+02,3.456978168189714928e+00
5.428489587391640043e+02,3.456978168189714928e+00
5.428445118453723808e+02,3.456978168189714928e+00
5.428400652220016127e+02,3.456978168189714928e+00
5.428356188723946616e+02,3.456978168189714928e+00
5.428311727998943752e+02,3.456978168189714928e+00
5.428267270078439424e+02,3.456978168189714928e+00
5.428222814995859835e+02,3.456978168189714928e+00
5.428178362784636874e+02,3.456978168189714928e+00
5.428133913478200157e+02,3.456978168189714928e+00
5.428089467109977022e+02,3.456978168189714928e+00
5.428045023713397086e+02,3.456978168189714928e+00
5.428000583321892236e+02,3.456978168189714928e+00
5.427956145968888677e+02,3.456978168189714928e+00
5.427911711687818297e+02,3.456978168189714928e+00
5.427867280512109573e+02,3.456978168189714928e+00
5.427822852475192121e+02,3.456978168189714928e+00
5.427778427610494418e+02,3.456978168189714928e+00
5.427734005951447216e+02,3.456978168189714928e+00
5.427689587531478992e+02,3.456978168189714928e+00
5.427645172384019361e+02,3.456978168189714928e+00
5.427600760542497937e+02,3.456978168189714928e+00
5.427556352040343199e+02,3.456978168189714928e+00
5.427511946910987035e+02,3.456978168189714928e+00
5.427467545187855649e+02,3.456978168189714928e+00
5.427423146904380928e+02,3.456978168189714928e+00
5.427378752093991352e+02,3.456978168189714928e+00
5.427334360790116534e+02,3.456978168189714928e+00
5.427289973026184953e+02,3.456978168189714928e+00
5.427245588835627359e+02,3.456978168189714928e+00
5.427201208251872231e+02,3.456978168189714928e+00
5.427156831308349183e+02,3.456978168189714928e+00
5.427112458038487830e+02,3.456978168189714928e+00
5.427068088475717786e+02,3.456978168189714928e+00
5.427023722653467530e+02,3.456978168189714928e+00
5.426979360605167813e+02,3.456978168189714928e+00
5.426935002364247111e+02,3.456978168189714928e+00
5.426890647964133905e+02,3.456978168189714928e+00
5.426846297438260081e+02,3.456978168189714928e+00
5.426801950820054117e+02,3.456978168189714928e+00
5.426757608142943354e+02,3.456978168189714928e+00
5.426713269440359682e+02,3.456978168189714928e+00
5.426668934745732713e+02,3.456978168189714928e+00
5.426624604092489790e+02,3.456978168189714928e+00
5.426580277514061663e+02,3.456978168189714928e+00
5.426535955043876811e+02,3.456978168189714928e+00
5.426491636715365985e+02,3.456978168189714928e+00
5.426447322561957662e+02,3.456978168189714928e+00
5.426403012617081458e+02,3.456978168189714928e+00
5.426358706914166987e+02,3.456978168189714928e+00
